Cust_id,Country_code,Sales_Type,Net_sales,Invoice_Amount
ANT39881,ANT,Website,39,15600
ITA39066,ITA,Website,78,15600
CHA39191,CHA,Direct,78,15600
TIM39659,TIM,Other,78,15600
SUR39501,SUR,Website,79,15800
SRI39159,SRI,Website,40,16000
GUY39790,GUY,Direct,40,16000
AUS39635,AUS,Website,81,16200
JAP39146,JAP,Website,41,16400
ALG39206,ALG,Website,41,16400
AUS39036,AUS,Website,82,16400
SAM39551,SAM,Other,82,16400
BAN39021,BAN,Direct,42,16800
GIB39786,GIB,Website,84,16800
BAN39908,BAN,Direct,84,16800
FAL39354,FAL,Website,86,17200
NAU39279,NAU,Website,44,17600
MAU39382,MAU,Direct,44,17600
BUR39478,BUR,Direct,44,17600
COM39880,COM,Direct,44,17600
IRE39131,IRE,Direct,88,17600
PAR39766,PAR,Direct,88,17600
MAL39535,MAL,Direct,45,18000
WES39076,WES,Direct,90,18000
BOU39607,BOU,Direct,47,18800
MAU39677,MAU,Direct,94,18800
SAI39712,SAI,Website,94,18800
PAN38992,PAN,Direct,95,19000
TON39058,TON,Website,95,19000
IND38996,IND,Other,48,19200
CHA39425,CHA,Website,97,19400
SWA39510,SWA,Website,49,19600
FAR39152,FAR,Website,98,19600
BAN39846,BAN,Direct,99,19800
DEN39035,DEN,Direct,50,20000
MAU39257,MAU,Website,50,20000
BHU39472,BHU,Website,50,20000
DEN39128,DEN,Website,100,20000
AME39009,AME,Website,102,20400
ERI39289,ERI,Other,102,20400
BRI39861,BRI,Website,102,20400
SVA39087,SVA,Website,52,20800
REU39559,REU,Other,104,20800
IRE39200,IRE,Direct,105,21000
MOR39632,MOR,Direct,106,21200
CZE39771,CZE,Direct,106,21200
CYP39901,CYP,Website,106,21200
AND39105,AND,Direct,2356,21200
BOT39329,BOT,Direct,108,21600
AUS39619,AUS,Other,108,21600
VAN39832,VAN,Direct,108,21600
SUR39843,SUR,Direct,108,21600
BUR38993,BUR,Direct,109,21800
AZE39261,AZE,Website,55,22000
BAR39669,BAR,Direct,110,22000
NEW39915,NEW,Website,110,22000
ANG39181,ANG,Website,111,22200
KAZ39267,KAZ,Direct,111,22200
SUR39732,SUR,Direct,112,22400
CAP39052,CAP,Direct,114,22800
ALB39430,ALB,Direct,115,23000
BEL39473,BEL,Website,115,23000
IRA39101,IRA,Website,58,23200
MAU39113,MAU,Direct,58,23200
ANT39222,ANT,Direct,58,23200
SWA39465,SWA,Website,58,23200
MOL39495,MOL,Direct,58,23200
ZIM39286,ZIM,Direct,116,23200
UKR39513,UKR,Website,116,23200
URU39818,URU,Website,116,23200
ARG39620,ARG,Direct,117,23400
AUS39708,AUS,Direct,118,23600
BOS39157,BOS,Other,119,23800
BUR38958,BUR,Other,60,24000
HON39272,HON,Direct,60,24000
NIU39140,NIU,Website,120,24000
UNI39689,UNI,Other,120,24000
AUS39847,AUS,Website,120,24000
SLO39234,SLO,Direct,121,24200
NIG39378,NIG,Direct,121,24200
DEN39297,DEN,Website,61,24400
PUE39020,PUE,Website,122,24400
NEP39161,NEP,Direct,122,24400
VEN39664,VEN,Direct,122,24400
PER39526,PER,Direct,62,24800
CRO38998,CRO,Direct,125,25000
NAM39327,NAM,Other,125,25000
SOL39315,SOL,Website,63,25200
CRO39694,CRO,Website,63,25200
RUS39067,RUS,Website,126,25200
TUR39474,TUR,Direct,128,25600
QAT39566,QAT,Other,132,26400
GAM39871,GAM,Direct,133,26600
URU39223,URU,Direct,134,26800
MOR39186,MOR,Website,68,27200
IRA39691,IRA,Website,68,27200
GUA39724,GUA,Direct,68,27200
UNI39875,UNI,Website,136,27200
GAB39544,GAB,Website,138,27600
VIR39872,VIR,Direct,138,27600
CZE39665,CZE,Website,70,28000
SAI39719,SAI,Direct,70,28000
OMA39391,OMA,Website,141,28200
EGY39903,EGY,Direct,141,28200
FIJ39772,FIJ,Direct,71,28400
TUR38950,TUR,Website,142,28400
MYA39668,MYA,Other,142,28400
NIG39294,NIG,Direct,72,28800
SAO39353,SAO,Direct,72,28800
TIM39250,TIM,Website,144,28800
PAN38941,PAN,Direct,73,29200
PAN39215,PAN,Website,73,29200
FIJ38970,FIJ,Website,146,29200
GUY39260,GUY,Other,146,29200
ECU39728,ECU,Website,147,29400
DEN38974,DEN,Direct,74,29600
SAM39878,SAM,Direct,148,29600
SOL39582,SOL,Website,149,29800
ETH39259,ETH,Direct,150,30000
IND39428,IND,Direct,150,30000
COC39029,COC,Website,151,30200
VIR39210,VIR,Website,151,30200
AME39418,AME,Direct,152,30400
AND39794,AND,Direct,153,30600
UNI39047,UNI,Direct,77,30800
RWA39339,RWA,Direct,77,30800
SWA39776,SWA,Website,77,30800
VEN39718,VEN,Direct,155,31000
FAR39528,FAR,Website,156,31200
KUW39590,KUW,Website,3120,31200
OMA38955,OMA,Website,157,31400
FIN39056,FIN,Website,157,31400
SAO39189,SAO,Other,158,31600
FAR39283,FAR,Website,158,31600
PUE39322,PUE,Direct,158,31600
CAP39059,CAP,Website,159,31800
EL 39499,EL ,Other,80,32000
ANG39856,ANG,Website,80,32000
HON39863,HON,Website,80,32000
NOR39034,NOR,Website,160,32000
MAL39207,MAL,Website,160,32000
IRA39485,IRA,Website,160,32000
GER39882,GER,Direct,160,32000
LUX39709,LUX,Website,161,32200
PUE39630,PUE,Website,81,32400
NAU39865,NAU,Website,81,32400
SIN39585,SIN,Website,162,32400
CAN38988,CAN,Website,82,32800
MOL39017,MOL,Website,82,32800
EL 39796,EL ,Website,82,32800
GUA38946,GUA,Direct,164,32800
GUI39015,GUI,Other,164,32800
QAT39437,QAT,Website,164,32800
ANT39722,ANT,Direct,164,32800
FAL39379,FAL,Website,165,33000
PUE39679,PUE,Direct,83,33200
CAP39184,CAP,Website,166,33200
GUA39505,GUA,Website,166,33200
KAZ39364,KAZ,Direct,84,33600
SAI39700,SAI,Direct,84,33600
RWA39811,RWA,Website,84,33600
HON39858,HON,Website,168,33600
MAC39306,MAC,Direct,169,33800
GAB38944,GAB,Website,170,34000
VIR39406,VIR,Direct,171,34200
HON39529,HON,Website,171,34200
TOK39292,TOK,Direct,172,34400
EQU39701,EQU,Direct,172,34400
AZE39451,AZE,Website,174,34800
TIM39777,TIM,Website,175,35000
COL38981,COL,Direct,176,35200
BEL39336,BEL,Website,176,35200
MAU39778,MAU,Website,177,35400
CZE39104,CZE,Website,178,35600
SYR39726,SYR,Direct,178,35600
GRE39132,GRE,Website,179,35800
SAU39616,SAU,Other,90,36000
REU39318,REU,Website,180,36000
SAM39342,SAM,Website,180,36000
UZB39487,UZB,Direct,180,36000
IRA39560,IRA,Direct,180,36000
BRI39799,BRI,Direct,91,36400
IND39517,IND,Website,182,36400
BEL39553,BEL,Website,92,36800
SIE39571,SIE,Website,92,36800
MAU39039,MAU,Direct,184,36800
PHI39227,PHI,Website,184,36800
MIC39392,MIC,Website,184,36800
EST39534,EST,Direct,184,36800
FRE39435,FRE,Other,185,37000
REU39839,REU,Website,185,37000
PHI38984,PHI,Website,93,37200
NIG39496,NIG,Direct,186,37200
TOG39769,TOG,Website,187,37400
TUR39042,TUR,Website,94,37600
BUR39028,BUR,Website,188,37600
BAR39199,BAR,Direct,188,37600
ARU39351,ARU,Direct,95,38000
SOM39857,SOM,Website,190,38000
AZE39899,AZE,Website,190,38000
HOL39330,HOL,Website,191,38200
UNI39484,UNI,Website,96,38400
UNI39758,UNI,Website,96,38400
LEB39558,LEB,Direct,192,38400
BUR39002,BUR,Direct,193,38600
ANT39500,ANT,Website,193,38600
KUW39394,KUW,Website,98,39200
BOS39707,BOS,Direct,98,39200
TON39316,TON,Direct,196,39200
GUI39783,GUI,Direct,196,39200
BOT39160,BOT,Website,197,39400
SER39365,SER,Other,197,39400
MON39807,MON,Direct,197,39400
BUR39798,BUR,Website,99,39600
PAR39439,PAR,Direct,198,39600
LEB39809,LEB,Direct,198,39600
BER39850,BER,Website,198,39600
ALB38969,ALB,Direct,199,39800
OMA39736,OMA,Other,199,39800
LIB38960,LIB,Direct,100,40000
ZIM39095,ZIM,Direct,100,40000
LEB39565,LEB,Other,201,40200
GAM39271,GAM,Other,202,40400
NAM39884,NAM,Website,203,40600
BOU39116,BOU,Direct,102,40800
FRE39006,FRE,Website,204,40800
SAI39586,SAI,Direct,204,40800
NEW39717,NEW,Website,204,40800
CHI39784,CHI,Direct,204,40800
MAR39083,MAR,Direct,207,41400
NIG39572,NIG,Direct,104,41600
GUI39697,GUI,Other,104,41600
DEN39409,DEN,Website,208,41600
HUN39611,HUN,Website,208,41600
MIC39731,MIC,Website,208,41600
BOS39150,BOS,Website,209,41800
SVA39440,SVA,Direct,105,42000
PAN38980,PAN,Website,210,42000
HOL38999,HOL,Website,211,42200
PAN39238,PAN,Website,212,42400
TUR39290,TUR,Website,212,42400
SOM39280,SOM,Direct,214,42800
TUR39525,TUR,Direct,108,43200
ANT39578,ANT,Website,108,43200
ANT39816,ANT,Direct,108,43200
BEL39314,BEL,Direct,216,43200
GUI39562,GUI,Website,109,43600
UNI39151,UNI,Direct,110,44000
SAI39110,SAI,Direct,220,44000
VIE39274,VIE,Direct,111,44400
CAY39069,CAY,Website,222,44400
SAI38986,SAI,Website,224,44800
NET39625,NET,Direct,113,45200
MAL39071,MAL,Website,226,45200
JAM39468,JAM,Website,228,45600
GIB39649,GIB,Other,228,45600
ANG39313,ANG,Direct,115,46000
UNI39610,UNI,Website,115,46000
MAR39506,MAR,Website,230,46000
UNI39013,UNI,Direct,116,46400
PAL39725,PAL,Direct,116,46400
IRA39838,IRA,Website,116,46400
GUI39074,GUI,Other,232,46400
ZAM39094,ZAM,Direct,232,46400
ANG38971,ANG,Website,117,46800
GAM39502,GAM,Website,118,47200
BAH39916,BAH,Direct,118,47200
NAU39603,NAU,Website,236,47200
AZE39555,AZE,Direct,238,47600
VIR39312,VIR,Website,120,48000
NAM39352,NAM,Direct,120,48000
COC39597,COC,Website,240,48000
UNI39602,UNI,Website,240,48000
ARM39755,ARM,Direct,122,48800
KOR39840,KOR,Website,122,48800
CHI39442,CHI,Direct,244,48800
POR39653,POR,Direct,246,49200
TOG39681,TOG,Website,124,49600
SER39454,SER,Direct,248,49600
TAN39457,TAN,Website,248,49600
SRI39800,SRI,Direct,250,50000
SLO39004,SLO,Website,126,50400
IND39048,IND,Website,126,50400
GER39422,GER,Other,254,50800
KUW39576,KUW,Direct,254,50800
KAZ39022,KAZ,Website,128,51200
QAT39580,QAT,Other,128,51200
RWA39904,RWA,Website,128,51200
NOR39621,NOR,Direct,256,51200
JOR39148,JOR,Website,258,51600
NEP38954,NEP,Direct,130,52000
CEN39192,CEN,Website,130,52000
CHI39287,CHI,Direct,262,52400
PAN39592,PAN,Website,6550,52400
BUR39432,BUR,Website,132,52800
SWA39896,SWA,Direct,132,52800
KOR39545,KOR,Direct,264,52800
CHI39198,CHI,Website,266,53200
ANT39690,ANT,Website,266,53200
SRI39166,SRI,Direct,134,53600
GIB39251,GIB,Website,134,53600
BOT39550,BOT,Website,134,53600
PAL38962,PAL,Direct,135,54000
MON39762,MON,Direct,135,54000
LIB39242,LIB,Direct,136,54400
PAL38991,PAL,Direct,137,54800
YEM38964,YEM,Website,138,55200
SWI39118,SWI,Website,138,55200
QAT39136,QAT,Website,138,55200
ICE39686,ICE,Website,139,55600
MAL39243,MAL,Website,140,56000
IND39682,IND,Direct,140,56000
MAL39741,MAL,Website,140,56000
TON39305,TON,Website,141,56400
POL39564,POL,Website,141,56400
TUV38953,TUV,Website,282,56400
MON38966,MON,Direct,282,56400
BEL39546,BEL,Other,282,56400
NEW39523,NEW,Website,142,56800
GUI39834,GUI,Website,142,56800
NAU39887,NAU,Direct,284,56800
KUW39165,KUW,Direct,286,57200
IND39779,IND,Website,286,57200
BEN39408,BEN,Website,288,57600
SUR39533,SUR,Website,145,58000
LES39770,LES,Direct,147,58800
AND39125,AND,Direct,294,58800
KUW39268,KUW,Direct,148,59200
BEL39325,BEL,Website,148,59200
QAT39511,QAT,Direct,148,59200
MAL39606,MAL,Website,148,59200
HON39648,HON,Direct,148,59200
LUX39729,LUX,Direct,148,59200
OMA39637,OMA,Website,296,59200
NIU39046,NIU,Website,150,60000
BOU39245,BOU,Other,150,60000
MAU39417,MAU,Website,300,60000
UNI39760,UNI,Website,300,60000
NEW39237,NEW,Website,152,60800
TAJ39320,TAJ,Website,152,60800
SWA39604,SWA,Website,152,60800
UZB39373,UZB,Direct,304,60800
MAC38952,MAC,Website,306,61200
HUN39100,HUN,Website,306,61200
MAU39447,MAU,Website,306,61200
SLO39497,SLO,Website,308,61600
MON39584,MON,Website,310,62000
SIE39652,SIE,Direct,156,62400
VIE39727,VIE,Website,156,62400
TAI39208,TAI,Direct,160,64000
TUR39675,TUR,Website,322,64400
TRI39230,TRI,Website,162,64800
SYR39911,SYR,Other,324,64800
ANG39657,ANG,Website,163,65200
ICE39026,ICE,Website,326,65200
ANG39631,ANG,Direct,164,65600
MOL39775,MOL,Direct,164,65600
TOK39387,TOK,Direct,328,65600
BEL39530,BEL,Direct,328,65600
MAL39344,MAL,Direct,330,66000
KIR39429,KIR,Website,166,66400
PAK39445,PAK,Website,166,66400
SOL39612,SOL,Website,332,66400
PIT39789,PIT,Website,332,66400
MAY39203,MAY,Website,167,66800
MAD39032,MAD,Direct,168,67200
BUR39808,BUR,Website,168,67200
GUY39579,GUY,Direct,338,67600
PAK39782,PAK,Website,338,67600
BUL39793,BUL,Direct,338,67600
NIG39054,NIG,Direct,170,68000
GUA39460,GUA,Direct,170,68000
DEN39493,DEN,Website,170,68000
IRE39494,IRE,Website,170,68000
PAR39720,PAR,Website,170,68000
SRI39626,SRI,Website,340,68000
SYR39488,SYR,Website,342,68400
BEL39214,BEL,Website,172,68800
NET39714,NET,Website,173,69200
MOL39168,MOL,Other,346,69200
ETH39831,ETH,Direct,346,69200
SAI39169,SAI,Website,174,69600
COO39879,COO,Direct,175,70000
CHA39005,CHA,Direct,176,70400
MOZ39080,MOZ,Website,176,70400
JOR39476,JOR,Website,354,70800
HAI39910,HAI,Direct,354,70800
DEN39044,DEN,Website,178,71200
CZE39419,CZE,Website,178,71200
MOZ39823,MOZ,Website,178,71200
WES39016,WES,Website,356,71200
ARM39176,ARM,Direct,356,71200
KOR39040,KOR,Direct,179,71600
SPA39522,SPA,Direct,358,71600
SER39231,SER,Direct,180,72000
COS39589,COS,Direct,6000,72000
OMA39367,OMA,Website,362,72400
ANG39239,ANG,Website,182,72800
SIN39368,SIN,Website,182,72800
UGA39453,UGA,Direct,182,72800
FRE39787,FRE,Website,182,72800
LES39699,LES,Direct,364,72800
POL39623,POL,Website,183,73200
ANG39806,ANG,Website,183,73200
COL39397,COL,Website,366,73200
BAH39687,BAH,Other,184,73600
IND39003,IND,Website,368,73600
SEY39537,SEY,Website,370,74000
TAI39396,TAI,Other,374,74800
VAN39886,VAN,Website,188,75200
SVA39532,SVA,Website,189,75600
BAN39051,BAN,Direct,190,76000
GUA39244,GUA,Website,190,76000
VIE39041,VIE,Website,380,76000
ANG39844,ANG,Website,191,76400
SAN39096,SAN,Direct,382,76400
LEB39291,LEB,Direct,382,76400
VAN39650,VAN,Website,384,76800
WES39710,WES,Direct,196,78400
BOL39601,BOL,Direct,392,78400
MAL38956,MAL,Website,197,78800
DEN39298,DEN,Direct,394,78800
CON39384,CON,Website,394,78800
AZE39569,AZE,Direct,394,78800
FAL39341,FAL,Website,198,79200
KYR39459,KYR,Website,198,79200
LIB39795,LIB,Direct,398,79600
EGY39820,EGY,Website,201,80400
SAI39084,SAI,Website,404,80800
CEN39575,CEN,Direct,404,80800
URU39007,URU,Website,203,81200
EST39683,EST,Direct,203,81200
BRU39819,BRU,Website,406,81200
MYA39734,MYA,Direct,204,81600
TRI39049,TRI,Website,408,81600
ARU39232,ARU,Website,408,81600
KAZ39596,KAZ,Other,408,81600
PUE39905,PUE,Other,408,81600
HAI39912,HAI,Website,408,81600
SWI39334,SWI,Direct,206,82400
MAC39362,MAC,Website,206,82400
NIG38977,NIG,Direct,208,83200
LIT39746,LIT,Website,208,83200
GUY39803,GUY,Website,208,83200
DEN39695,DEN,Website,416,83200
COS39085,COS,Direct,209,83600
TIM39337,TIM,Website,209,83600
ISR39111,ISR,Direct,418,83600
MAL39072,MAL,Website,210,84000
PUE39829,PUE,Website,210,84000
CON39704,CON,Direct,420,84000
KOR39400,KOR,Direct,211,84400
IRE39185,IRE,Direct,422,84400
ETH39224,ETH,Other,218,87200
TOK39448,TOK,Website,218,87200
UGA39463,UGA,Website,218,87200
VAN39202,VAN,Other,230,92000
GUI39233,GUI,Website,234,93600
PAR39256,PAR,Direct,238,95200
LES39317,LES,Other,238,95200
ZIM39393,ZIM,Direct,238,95200
CHR39450,CHR,Website,238,95200
BOU39554,BOU,Website,238,95200
CHI39180,CHI,Other,246,98400
EL 39205,EL ,Direct,248,99200
ARG39767,ARG,Website,248,99200
REU38949,REU,Other,250,100000
GEO39027,GEO,Website,252,100800
BRU39175,BRU,Website,252,100800
NET39676,NET,Website,254,101600
NOR39332,NOR,Website,256,102400
IRA39830,IRA,Direct,260,104000
SIE39108,SIE,Website,11644,104800
VAN39350,VAN,Website,264,105600
UNI39835,UNI,Website,264,105600
UKR39873,UKR,Website,264,105600
UZB39593,UZB,Other,268,107200
TUN39221,TUN,Direct,274,109600
BOU39698,BOU,Direct,276,110400
NEW39427,NEW,Website,278,111200
COS39509,COS,Direct,280,112000
PAL39107,PAL,Website,9600,115200
ALG39599,ALG,Website,290,116000
TON39246,TON,Website,292,116800
AZE39025,AZE,Direct,294,117600
TUR39752,TUR,Website,294,117600
PER39567,PER,Direct,296,118400
PIT39492,PIT,Website,300,120000
CON39605,CON,Direct,302,120800
KOR39106,KOR,Direct,15300,122400
PAK39414,PAK,Other,308,123200
BER39211,BER,Direct,310,124000
NOR39213,NOR,Website,318,127200
BHU39750,BHU,Website,318,127200
SAU39122,SAU,Direct,320,128000
COM39361,COM,Website,320,128000
ICE39366,ICE,Direct,322,128800
VEN39328,VEN,Other,324,129600
BEN39340,BEN,Website,326,130400
HAI39617,HAI,Direct,326,130400
PAN39331,PAN,Direct,330,132000
ANT39073,ANT,Direct,338,135200
PAN39452,PAN,Website,340,136000
GAB39156,GAB,Direct,346,138400
POL39577,POL,Website,356,142400
SAI39423,SAI,Direct,360,144000
BER39142,BER,Direct,362,144800
SOU39301,SOU,Website,362,144800
KEN39845,KEN,Direct,362,144800
LES39374,LES,Direct,374,149600
BOT38983,BOT,Website,376,150400
PAR39183,PAR,Other,378,151200
MAC39276,MAC,Direct,380,152000
BOU39514,BOU,Direct,380,152000
BEL39193,BEL,Direct,382,152800
PAR39295,PAR,Direct,382,152800
HAI39614,HAI,Direct,390,156000
IRA39914,IRA,Direct,390,156000
MAL38995,MAL,Direct,392,156800
CAM39598,CAM,Website,392,156800
AME39240,AME,Direct,396,158400
PUE39112,PUE,Website,406,162400
SAI39179,SAI,Website,408,163200
SUD39381,SUD,Website,410,164000
AZE39810,AZE,Direct,412,164800
MON39702,MON,Direct,416,166400
SOM39481,SOM,Direct,418,167200
CHA39854,CHA,Direct,418,167200
VIR39548,VIR,Direct,420,168000
UKR39521,UKR,Direct,422,168800
SOM39594,SOM,Website,424,169600
GUA39889,GUA,Other,129,3870
TRI39891,TRI,Other,155,4650
SOU39893,SOU,Other,171,5130
GEO39888,GEO,Other,188,5640
ICE39892,ICE,Direct,240,7200
