age,workclass,education,education.num,marital.status,occupation,sex,capital.gain,capital.loss,hours.per.week,native.country,income
23,Private,Some-college,10,Separated,Other-service,Male,0,2559,40,United-States,>50K
59,Self-emp-inc,10th,6,Widowed,Exec-managerial,Female,0,2559,50,United-States,>50K
52,Private,Prof-school,15,Divorced,Exec-managerial,Male,0,2559,60,United-States,>50K
51,Private,Bachelors,13,Divorced,Exec-managerial,Male,0,2559,50,United-States,>50K
60,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Male,0,2559,50,United-States,>50K
63,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Female,0,2559,60,United-States,>50K
53,Private,HS-grad,9,Never-married,Sales,Male,0,2559,48,United-States,>50K
51,Private,Prof-school,15,Never-married,Prof-specialty,Female,0,2559,50,United-States,>50K
37,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Female,0,2559,60,United-States,>50K
54,Private,Masters,14,Divorced,Prof-specialty,Female,0,2559,40,United-States,>50K
44,Private,Bachelors,13,Divorced,Exec-managerial,Male,0,2547,50,United-States,>50K
43,Private,Masters,14,Divorced,Exec-managerial,Female,0,2547,40,United-States,>50K
51,Private,Some-college,10,Divorced,Adm-clerical,Female,0,2547,40,United-States,>50K
43,Private,Masters,14,Divorced,Prof-specialty,Female,0,2547,40,United-States,>50K
71,?,HS-grad,9,Married-civ-spouse,?,Male,0,2489,15,United-States,<=50K
48,Private,Bachelors,13,Married-spouse-absent,Sales,Female,0,2472,70,United-States,>50K
71,Private,HS-grad,9,Married-civ-spouse,Sales,Male,0,2467,52,United-States,<=50K
73,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,0,2457,40,Vietnam,<=50K
68,?,Some-college,10,Married-civ-spouse,?,Female,0,2457,40,United-States,<=50K
67,?,Some-college,10,Married-civ-spouse,?,Male,0,2457,40,United-States,<=50K
40,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Male,0,2444,45,United-States,>50K
50,Private,HS-grad,9,Widowed,Sales,Female,0,2444,72,United-States,>50K
51,State-gov,Assoc-voc,11,Divorced,Tech-support,Male,0,2444,39,United-States,>50K
42,Private,Some-college,10,Never-married,Exec-managerial,Female,0,2444,40,United-States,>50K
39,Private,Masters,14,Never-married,Sales,Male,0,2444,45,United-States,>50K
32,Private,Bachelors,13,Never-married,Exec-managerial,Male,0,2444,50,United-States,>50K
53,Private,Some-college,10,Separated,Craft-repair,Male,0,2444,45,United-States,>50K
40,Local-gov,Some-college,10,Never-married,Protective-serv,Male,0,2444,40,United-States,>50K
38,Private,Bachelors,13,Never-married,Sales,Female,0,2444,45,United-States,>50K
33,Private,Assoc-voc,11,Separated,Craft-repair,Male,0,2444,42,United-States,>50K
43,Private,Assoc-acdm,12,Divorced,Craft-repair,Male,0,2444,70,United-States,>50K
50,Self-emp-inc,11th,7,Never-married,Exec-managerial,Male,0,2444,40,United-States,>50K
44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Female,0,2415,6,United-States,>50K
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,40,China,>50K
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,40,United-States,>50K
60,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Male,0,2415,70,?,>50K
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2415,60,United-States,>50K
55,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,35,Greece,>50K
39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,60,United-States,>50K
42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,60,United-States,>50K
49,Private,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,55,United-States,>50K
47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,0,2415,50,United-States,>50K
41,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,45,United-States,>50K
55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,50,United-States,>50K
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Female,0,2415,65,United-States,>50K
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,60,United-States,>50K
41,?,Assoc-voc,11,Married-civ-spouse,?,Male,0,2415,12,United-States,>50K
46,Private,Masters,14,Married-civ-spouse,Sales,Male,0,2415,65,United-States,>50K
40,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2415,45,United-States,>50K
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,2415,48,United-States,>50K
41,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2415,55,United-States,>50K
60,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,80,United-States,>50K
31,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2415,70,Taiwan,>50K
58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Male,0,2415,40,United-States,>50K
37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,50,United-States,>50K
44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,50,United-States,>50K
39,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,50,?,>50K
43,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,55,?,>50K
55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,50,United-States,>50K
44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Male,0,2415,55,United-States,>50K
39,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,67,India,>50K
46,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,40,United-States,>50K
39,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Male,0,2415,99,United-States,>50K
62,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Male,0,2415,60,United-States,>50K
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Female,0,2415,40,United-States,>50K
46,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Male,0,2415,35,Philippines,>50K
46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,80,United-States,>50K
39,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Male,0,2415,40,United-States,>50K
39,Private,Prof-school,15,Married-civ-spouse,Sales,Male,0,2415,99,United-States,>50K
59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,2415,45,United-States,>50K
50,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,60,United-States,>50K
46,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,2415,55,United-States,>50K
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,40,United-States,>50K
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,30,United-States,>50K
41,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Female,0,2415,55,United-States,>50K
36,Private,Bachelors,13,Married-civ-spouse,Sales,Male,0,2415,45,United-States,>50K
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,90,United-States,>50K
54,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,2415,50,United-States,>50K
50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Female,0,2415,20,United-States,>50K
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2415,60,United-States,>50K
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2415,45,United-States,>50K
67,Private,Bachelors,13,Widowed,Exec-managerial,Male,0,2392,40,United-States,>50K
67,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2392,75,United-States,>50K
72,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,2392,25,United-States,>50K
72,?,Doctorate,16,Married-civ-spouse,?,Male,0,2392,6,United-States,>50K
46,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2392,50,United-States,>50K
78,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2392,40,United-States,>50K
71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2392,60,United-States,>50K
83,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2392,55,United-States,>50K
68,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2392,40,United-States,>50K
26,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Male,0,2377,45,United-States,<=50K
68,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,0,2377,60,United-States,>50K
49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Female,0,2377,40,United-States,>50K
36,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,0,2377,60,United-States,<=50K
70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Male,0,2377,12,United-States,>50K
27,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Female,0,2377,20,United-States,<=50K
35,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2377,40,United-States,<=50K
23,Private,HS-grad,9,Married-civ-spouse,Sales,Male,0,2377,40,United-States,<=50K
81,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,0,2377,26,United-States,>50K
66,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Male,0,2377,25,United-States,>50K
71,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,0,2377,45,United-States,>50K
68,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,2377,55,United-States,>50K
68,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Male,0,2377,42,?,>50K
65,?,Bachelors,13,Married-civ-spouse,?,Male,0,2377,40,United-States,>50K
52,Private,HS-grad,9,Married-civ-spouse,Sales,Male,0,2377,40,United-States,<=50K
40,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Male,0,2377,50,United-States,<=50K
68,?,Bachelors,13,Married-civ-spouse,?,Male,0,2377,35,United-States,>50K
21,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2377,48,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2377,40,United-States,<=50K
70,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2377,50,United-States,>50K
61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,0,2352,50,United-States,<=50K
65,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,0,2352,65,United-States,<=50K
46,Private,5th-6th,3,Divorced,Craft-repair,Female,0,2339,45,United-States,<=50K
26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Male,0,2339,55,United-States,<=50K
59,Local-gov,HS-grad,9,Widowed,Farming-fishing,Male,0,2339,40,United-States,<=50K
61,Private,5th-6th,3,Never-married,Handlers-cleaners,Male,0,2339,40,United-States,<=50K
60,State-gov,Bachelors,13,Divorced,Prof-specialty,Female,0,2339,40,United-States,<=50K
49,Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Male,0,2339,50,United-States,<=50K
34,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Male,0,2339,40,?,<=50K
25,Private,Bachelors,13,Never-married,Prof-specialty,Female,0,2339,35,United-States,<=50K
55,Private,Some-college,10,Never-married,Adm-clerical,Female,0,2339,45,?,<=50K
59,Local-gov,HS-grad,9,Separated,Protective-serv,Female,0,2339,40,United-States,<=50K
28,State-gov,Some-college,10,Separated,Exec-managerial,Male,0,2339,40,United-States,<=50K
43,?,Assoc-voc,11,Widowed,?,Female,0,2339,36,United-States,<=50K
56,Self-emp-not-inc,Masters,14,Divorced,Sales,Female,0,2339,60,United-States,<=50K
41,Private,HS-grad,9,Divorced,Craft-repair,Male,0,2339,40,United-States,<=50K
42,Private,HS-grad,9,Never-married,Adm-clerical,Female,0,2339,40,Trinadad&Tobago,<=50K
28,Private,Prof-school,15,Never-married,Prof-specialty,Male,0,2339,40,Canada,<=50K
40,Self-emp-not-inc,Prof-school,15,Divorced,Other-service,Female,0,2339,35,United-States,<=50K
69,Private,Bachelors,13,Widowed,Prof-specialty,Male,0,2282,40,United-States,>50K
66,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2267,40,United-States,<=50K
69,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Male,0,2267,40,United-States,<=50K
55,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Female,0,2267,40,United-States,<=50K
57,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Male,0,2258,40,United-States,<=50K
20,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Male,0,2258,10,United-States,<=50K
33,Private,HS-grad,9,Divorced,Craft-repair,Male,0,2258,84,United-States,<=50K
30,Self-emp-not-inc,Some-college,10,Never-married,Sales,Male,0,2258,40,South,<=50K
40,Private,Bachelors,13,Never-married,Tech-support,Female,0,2258,48,Philippines,<=50K
38,Private,Some-college,10,Separated,Machine-op-inspct,Male,0,2258,55,United-States,>50K
46,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Male,0,2258,38,United-States,>50K
29,Private,Bachelors,13,Never-married,Exec-managerial,Female,0,2258,45,United-States,>50K
57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Male,0,2258,40,United-States,<=50K
39,Private,HS-grad,9,Never-married,Craft-repair,Male,0,2258,42,United-States,>50K
47,Private,Bachelors,13,Divorced,Exec-managerial,Male,0,2258,40,United-States,>50K
26,Private,Bachelors,13,Never-married,Exec-managerial,Male,0,2258,45,United-States,>50K
27,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Male,0,2258,50,United-States,<=50K
23,Private,Bachelors,13,Never-married,Prof-specialty,Female,0,2258,40,United-States,>50K
34,Private,Masters,14,Never-married,Prof-specialty,Male,0,2258,50,United-States,<=50K
33,Private,12th,8,Divorced,Craft-repair,Male,0,2258,42,United-States,<=50K
38,Local-gov,Masters,14,Never-married,Prof-specialty,Female,0,2258,60,United-States,<=50K
57,Private,Some-college,10,Widowed,Adm-clerical,Female,0,2258,38,United-States,>50K
36,Private,HS-grad,9,Never-married,Exec-managerial,Male,0,2258,70,United-States,<=50K
44,Federal-gov,Bachelors,13,Divorced,Tech-support,Male,0,2258,40,United-States,>50K
49,State-gov,Doctorate,16,Never-married,Exec-managerial,Female,0,2258,50,United-States,>50K
44,Self-emp-inc,Some-college,10,Never-married,Sales,Male,0,2258,60,United-States,<=50K
55,Private,Some-college,10,Widowed,Farming-fishing,Male,0,2258,62,United-States,>50K
45,Private,HS-grad,9,Divorced,Farming-fishing,Male,0,2258,44,United-States,>50K
48,Private,HS-grad,9,Divorced,Exec-managerial,Female,0,2258,40,United-States,>50K
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,0,2246,45,United-States,>50K
55,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Female,0,2246,40,United-States,>50K
70,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2246,40,United-States,>50K
70,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Male,0,2246,8,United-States,>50K
73,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,2246,40,United-States,>50K
72,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2246,28,United-States,>50K
31,Private,HS-grad,9,Separated,Machine-op-inspct,Female,0,2238,40,United-States,<=50K
28,Private,10th,6,Widowed,Adm-clerical,Female,0,2238,35,United-States,<=50K
23,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Male,0,2231,40,United-States,>50K
49,Local-gov,9th,5,Widowed,Handlers-cleaners,Male,0,2231,40,United-States,>50K
27,Local-gov,Some-college,10,Never-married,Protective-serv,Male,0,2231,40,United-States,>50K
90,Private,HS-grad,9,Never-married,Other-service,Male,0,2206,40,United-States,<=50K
68,Private,HS-grad,9,Widowed,Adm-clerical,Female,0,2206,30,United-States,<=50K
65,Private,HS-grad,9,Divorced,Adm-clerical,Female,0,2206,59,Canada,<=50K
65,?,HS-grad,9,Widowed,?,Female,0,2206,10,United-States,<=50K
67,Private,Bachelors,13,Divorced,Exec-managerial,Female,0,2206,5,United-States,<=50K
66,Local-gov,Bachelors,13,Widowed,Prof-specialty,Female,0,2206,25,United-States,<=50K
24,Private,Some-college,10,Never-married,Adm-clerical,Male,0,2205,24,United-States,<=50K
44,Self-emp-not-inc,Some-college,10,Divorced,Machine-op-inspct,Male,0,2205,35,United-States,<=50K
35,Private,Some-college,10,Never-married,Adm-clerical,Female,0,2205,40,United-States,<=50K
20,Private,Assoc-acdm,12,Never-married,Other-service,Female,0,2205,18,United-States,<=50K
38,Private,HS-grad,9,Divorced,Craft-repair,Male,0,2205,40,United-States,<=50K
39,Private,Some-college,10,Never-married,Other-service,Female,0,2205,40,United-States,<=50K
32,Private,Some-college,10,Never-married,Machine-op-inspct,Female,0,2205,40,Holand-Netherlands,<=50K
42,Private,7th-8th,4,Never-married,Handlers-cleaners,Male,0,2205,40,United-States,<=50K
63,?,HS-grad,9,Divorced,?,Female,0,2205,40,United-States,<=50K
42,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Male,0,2201,60,India,>50K
64,Private,11th,7,Married-civ-spouse,Craft-repair,Male,0,2179,40,United-States,<=50K
28,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Male,0,2179,40,Puerto-Rico,<=50K
41,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Male,0,2179,84,Mexico,<=50K
41,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Male,0,2179,40,United-States,<=50K
58,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Transport-moving,Male,0,2179,18,United-States,<=50K
59,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2179,40,United-States,<=50K
34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Female,0,2179,12,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,2179,45,United-States,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Female,0,2179,40,United-States,<=50K
47,Private,10th,6,Married-civ-spouse,Sales,Male,0,2179,52,United-States,<=50K
40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,0,2179,40,United-States,<=50K
47,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Sales,Male,0,2179,50,Mexico,<=50K
63,?,Bachelors,13,Married-civ-spouse,?,Male,0,2179,45,United-States,<=50K
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,0,2179,40,United-States,<=50K
34,Private,Some-college,10,Married-civ-spouse,Transport-moving,Male,0,2179,40,United-States,<=50K
66,?,Bachelors,13,Married-civ-spouse,?,Male,0,2174,40,United-States,>50K
65,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2174,10,United-States,>50K
70,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,0,2174,40,United-States,>50K
75,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,0,2174,50,United-States,>50K
65,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Male,0,2174,40,United-States,>50K
65,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Male,0,2174,40,United-States,>50K
73,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Male,0,2174,50,United-States,>50K
60,?,Bachelors,13,Married-civ-spouse,?,Male,0,2163,25,South,<=50K
68,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Male,0,2149,40,United-States,<=50K
74,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Male,0,2149,20,United-States,<=50K
43,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Female,0,2129,72,?,<=50K
19,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Male,0,2129,55,United-States,<=50K
37,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2129,40,United-States,<=50K
45,Federal-gov,Assoc-acdm,12,Divorced,Adm-clerical,Male,0,2080,40,Philippines,<=50K
64,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,0,2057,60,China,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,2057,40,United-States,<=50K
51,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Female,0,2057,60,Canada,<=50K
35,Private,11th,7,Married-civ-spouse,Craft-repair,Male,0,2057,40,United-States,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Female,0,2057,20,United-States,<=50K
34,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Female,0,2057,40,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,60,United-States,<=50K
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,0,2051,45,United-States,<=50K
26,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Male,0,2051,40,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,2051,50,United-States,<=50K
52,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,40,United-States,<=50K
50,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,0,2051,20,United-States,<=50K
31,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Male,0,2051,40,United-States,<=50K
38,Federal-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,2051,40,United-States,<=50K
30,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,0,2051,40,United-States,<=50K
34,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,2051,40,United-States,<=50K
31,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,2051,57,United-States,<=50K
52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,0,2051,38,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,40,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,44,United-States,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,0,2051,40,United-States,<=50K
29,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Male,0,2051,40,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,40,United-States,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,0,2051,55,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,40,Poland,<=50K
39,Private,10th,6,Married-civ-spouse,Craft-repair,Male,0,2051,40,United-States,<=50K
61,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2051,20,United-States,<=50K
43,Private,11th,7,Married-civ-spouse,Transport-moving,Male,0,2042,40,United-States,<=50K
35,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Male,0,2042,40,United-States,<=50K
46,Private,Some-college,10,Married-civ-spouse,Sales,Male,0,2042,50,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,0,2042,40,United-States,<=50K
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2042,48,United-States,<=50K
34,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Male,0,2042,10,United-States,<=50K
29,Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Male,0,2042,40,United-States,<=50K
32,Private,11th,7,Married-civ-spouse,Craft-repair,Male,0,2042,30,United-States,<=50K
60,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Male,0,2042,34,United-States,<=50K
49,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2002,40,United-States,<=50K
53,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Male,0,2002,45,United-States,<=50K
56,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Male,0,2002,40,United-States,<=50K
48,Private,11th,7,Married-civ-spouse,Transport-moving,Male,0,2002,40,United-States,<=50K
32,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,0,2002,40,Iran,<=50K
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,0,2002,40,United-States,<=50K
32,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Male,0,2002,42,United-States,<=50K
