safe,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
1,42.9346,12.2467,0.15049,628,95.5414,14.173,242.58,0,0,0.016694,386,0,1,78,0,0.07,767,0,0,5.2,2,17.1302
1,40.9031,8.89265,0.15049,636,94.3396,14.173,242.58,0,0,0.016631,385,0,1,77,0,0.175,767,0,0,13.9,2,16.9727
1,34.7917,12.5497,0.11157,620,96.7742,12.99,268.212,0,0,0.01493,381,0,1,77,0,0,1008,3.01875,0,0,2,16.5134
1,36.2628,10.7949,0.107678,660,90.9091,12.99,268.212,0,0,0.014993,377,0,1,77,23.6,0,511,0,0,0,3,16.6214
1,35.5044,8.35277,0.107678,676,88.7574,12.99,268.212,0,0,0.014993,376,0,1,78,24.8,0,1008,1.4875,0,0,3,16.5667
1,40.1947,17.7187,0.102489,636,94.3396,0,0,0,0,0.015875,367,0,1,67,0,1.05,1009,364.481,0,7.8,1,17.079
1,34.9676,12.7942,0.133624,624,96.1538,0,0,0,0,0.015875,367,0,1,61,20.4,-0.385,496,244.475,0,0,1,16.7719
1,37.1235,17.4741,0.133624,616,97.4026,0,0,0,0,0.015875,367,0,1,55,24.4,-0.455,240,93.0125,0,0,1,16.9303
1,34.3649,9.88551,0.123246,616,97.4026,0,0,0,0,0.015875,367,0,1,44,0,-0.455,752,99.0062,0,0,1,16.6893
1,33.3582,18.9266,0.107678,636,94.3396,0,0,0,0,0.015875,367,0,1,42,0.4,-0.455,752,99.0062,0,0,1,16.6136
1,33.2653,9.4565,0.12584,640,93.75,0,0,0,0,0.015875,367,0,1,40,1.2,-0.385,752,99.0062,0,0,1,16.5513
1,30.974,19.2626,0.138814,656,91.4634,0,0,0,0,0.015875,367,0,1,40,0,-0.385,752,99.0062,0,0,1,16.3554
1,31.9812,18.1354,0.112867,716,83.7989,0,0,0,0,0.015875,367,0,1,38,0,-0.385,752,99.0062,0,0,1,15.8809
1,31.99,11.8425,0.112867,724,82.8729,0,0,0,0,0.015875,367,0,1,39,0,-0.385,752,99.0062,0,0,1,15.8589
1,32.1571,12.6313,0.127138,704,85.2273,0,0,0,0,0.015875,367,0,1,39,0,-0.385,752,99.0062,0,0,1,15.8172
1,32.1924,10.9387,0.103786,744,80.6452,0,0,0,0,0.015875,367,0,1,39,0,-0.385,752,99.0062,0,0,1,15.7576
1,33.4407,15.0281,0.11157,724,82.8729,0,0,0,0,0.015875,367,0,1,38,0,-0.385,752,99.0062,0,0,1,15.715
1,33.3346,11.3079,0.108975,684,87.7193,0,0,0,0,0.015875,367,0,1,39,0,-0.455,752,100.494,0,0,1,15.6421
1,35.2136,8.34104,0.116759,660,90.9091,0,0,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,15.8234
1,38.7114,7.5422,0.114165,652,92.0245,0,0,0,0,0.015875,367,0,1,38,0,-0.385,240,100.494,0,0,1,16.1042
1,33.1989,17.9934,0.102489,684,87.7193,0,0,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.5246
1,35.5584,17.5292,0.121949,716,83.7989,0,0,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.6409
1,34.7255,17.2262,0.116759,704,85.2273,0.029,183.352,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.5939
1,37.1274,19.0382,0.107678,688,87.2093,0.056,210.424,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.6522
1,36.6865,9.09602,0.098597,704,85.2273,0.027,98.757,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,15.6449
1,36.2265,11.4929,0.094705,728,82.4176,0.036,11.846,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,15.6416
1,36.0877,14.7568,0.094705,716,83.7989,0.036,11.846,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.6249
1,34.2149,8.75356,0.119354,696,86.2069,0.007,320.513,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,15.4856
1,34.6744,15.6472,0.115462,708,84.7458,0.045,90.518,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.4964
1,34.6544,9.78145,0.098597,708,84.7458,0.045,90.518,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.4931
1,44.803,11.6463,0.120651,652,92.0245,0.045,90.518,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.2353
1,48.4077,18.0686,0.15049,652,92.0245,0.045,90.518,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.5979
1,53.9177,12.8961,0.133624,676,88.7574,0.045,90.518,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,17.4142
1,38.4138,10.5747,0.098597,724,82.8729,0.042,51.872,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.6209
1,39.3227,15.2624,0.098597,716,83.7989,0,0,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,16.7127
1,40.7414,18.1349,0.116759,716,83.7989,0.022,123.085,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,16.832
1,40.9142,11.6145,0.116759,712,84.2697,0.022,123.085,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,16.8475
1,38.7674,8.07867,0.079137,680,88.2353,0,0,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,16.7237
1,32.3504,10.6192,0.112867,656,91.4634,0,0,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.2231
1,31.921,15.1802,0.133624,648,92.5926,0,0,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.1748
1,32.0757,9.88398,0.108975,700,85.7143,0,0,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,16.0638
1,31.6242,10.4807,0.099894,692,86.7052,0,0,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.9626
1,33.2845,16.909,0.096002,676,88.7574,0,0,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.7564
1,33.5216,11.0515,0.099894,672,89.2857,0.002,203.285,0,0,0.015875,367,0,1,40,0,-0.385,255,100.494,0,0,1,15.7633
1,34.4894,8.00385,0.099894,652,92.0245,0,0,0,0,0.015875,367,0,1,39,0,-0.385,255,100.494,0,0,1,15.7754
1,34.6339,17.7897,0.119354,680,88.2353,0,0,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,15.7633
1,34.5234,10.601,0.132327,684,87.7193,0.015,305.647,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.7562
1,34.5234,7.51159,0.132327,700,85.7143,0.02,131.325,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.7382
1,35.8065,8.62212,0.133624,696,86.2069,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.7953
1,39.6636,7.47401,0.120651,736,81.5217,0.044,194.748,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,16.1517
1,39.092,11.7568,0.120651,736,81.5217,0.044,194.748,0,0,0.015875,367,0,1,39,0,-0.455,240,100.494,0,0,1,16.1257
1,38.0825,9.28323,0.093407,740,81.0811,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,16.0498
1,34.2217,10.945,0.103786,720,83.3333,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.759
1,34.2269,8.18206,0.112867,692,86.7052,0.024,210.561,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.7292
1,34.1981,8.35261,0.101191,696,86.2069,0.05,187.758,0,0,0.015875,367,0,1,39,0,-0.385,240,100.494,0,0,1,15.7202
1,34.2889,12.4509,0.112867,704,85.2273,0.02,199.845,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.6866
1,34.3252,17.8761,0.088218,704,85.2273,0.02,199.845,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.6571
1,35.8013,8.02528,0.098597,672,89.2857,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.6909
1,35.9245,19.2869,0.098597,672,89.2857,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.7204
1,36.0799,18.8748,0.115462,684,87.7193,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.7301
1,37.1917,8.52587,0.138814,668,89.8204,0.018,230.668,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.8401
1,35.89,13.8012,0.088218,660,90.9091,0.012,245.181,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.7951
1,34.1529,14.2634,0.121949,728,82.4176,0.012,245.181,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.5157
1,34.1355,19.2531,0.112867,756,79.3651,0.012,245.181,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.4698
1,34.1021,13.2064,0.112867,744,80.6452,0.012,245.181,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.4705
1,33.8579,12.0248,0.106381,752,79.7872,0.012,245.181,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.421
1,38.3627,13.2823,0.121949,688,87.2093,0.012,245.181,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.9232
1,32.5564,10.8082,0.127138,692,86.7052,0.018,233.914,0,0,0.015875,367,0,1,43,0,-0.385,240,100.494,0,0,1,15.3474
1,32.4145,8.37165,0.105083,700,85.7143,0.018,233.914,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.2356
1,32.5782,15.5361,0.11157,712,84.2697,0.018,233.914,0,0,0.015875,367,0,1,41,0,-0.455,255,100.494,0,0,1,15.2393
1,32.7401,11.0659,0.11157,732,81.9672,0.028,179.435,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.2182
1,32.7464,9.67994,0.105083,744,80.6452,0.028,179.435,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.1887
1,33.2207,13.0819,0.110273,688,87.2093,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.056
1,33.2061,7.4519,0.110273,720,83.3333,0,0,0,0,0.015875,367,0,1,40,0,-0.455,255,100.494,0,0,1,14.9488
1,33.2489,8.94979,0.12584,692,86.7052,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,14.9295
1,40.4461,18.2553,0.106381,620,96.7742,0,0,0,0,0.015875,367,0,1,40,0,-0.385,255,100.494,0,0,1,15.8437
1,44.9585,11.8704,0.101191,620,96.7742,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,16.2029
1,46.3642,11.7238,0.110273,732,81.9672,0,0,0,0,0.015875,367,0,1,40,0,-0.385,255,100.494,0,0,1,16.4272
1,45.3632,9.63283,0.146598,756,79.3651,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,16.4198
1,44.5456,14.9973,0.146598,772,77.7202,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,16.3934
1,36.4411,13.4378,0.132327,672,89.2857,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.9067
1,36.2309,8.06065,0.144003,652,92.0245,0,0,0,0,0.015875,367,0,1,42,0,-0.385,240,100.494,0,0,1,15.9144
1,32.7788,9.7556,0.112867,756,79.3651,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.5932
1,32.4322,9.9554,0.116759,680,88.2353,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.5391
1,32.4122,10.7112,0.13103,696,86.2069,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.5071
1,31.9991,12.7874,0.096002,724,82.8729,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.3747
1,32.0783,8.63045,0.089515,772,77.7202,0,0,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.2728
1,32.1647,7.41399,0.094705,748,80.2139,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.2707
1,32.3792,14.4429,0.093407,672,89.2857,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.2388
1,32.3886,11.776,0.103786,672,89.2857,0,0,0,0,0.015875,367,0,1,40,0,-0.385,255,100.494,0,0,1,15.2422
1,32.5655,8.50734,0.103786,668,89.8204,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,15.2276
1,32.874,11.1037,0.119354,680,88.2353,0.025,231.125,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.2296
1,33.5421,10.4016,0.112867,696,86.2069,0.025,231.125,0,0,0.015875,367,0,1,40,0,-0.385,240,100.494,0,0,1,15.2338
1,33.2355,10.113,0.132327,708,84.7458,0.012,74.452,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.1376
1,34.458,11.2497,0.110273,692,86.7052,0,0,0,0,0.015875,367,0,1,42,0,-0.385,240,100.494,0,0,1,15.196
1,35.273,18.608,0.098597,688,87.2093,0,0,0,0,0.015875,367,0,1,42,0,-0.385,240,100.494,0,0,1,15.2484
1,34.3659,14.806,0.118057,664,90.3614,0,0,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.18
1,34.2632,12.4354,0.118057,664,90.3614,0,0,0,0,0.015875,367,0,1,41,0,-0.385,255,100.494,0,0,1,15.1713
1,34.1085,10.1076,0.12584,652,92.0245,0,0,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,15.1262
1,34.087,12.0552,0.12584,652,92.0245,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.1312
1,32.5769,18.1405,0.115462,772,77.7202,0,0,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,14.8627
1,32.5546,8.99944,0.108975,676,88.7574,0,0,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,14.7384
1,38.9784,16.5048,0.11157,744,80.6452,0.021,65.544,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,15.1878
1,33.3071,10.7886,0.118057,768,78.125,0,0,0,0,0.015875,367,0,1,42,0,-0.455,240,100.494,0,0,1,14.7347
1,32.9664,9.16982,0.101191,724,82.8729,0,0,0,0,0.015938,367,0,1,42,0,-0.385,240,100.494,0,0,1,14.6383
1,53.0825,9.29021,0.146598,652,92.0245,0,0,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,16.1792
1,32.9122,18.4508,0.101191,660,90.9091,0.035,194.792,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,15.0451
1,32.543,7.73808,0.142706,720,83.3333,0.012,53.514,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,14.9328
1,31.8458,9.32013,0.057082,736,81.5217,0.02,287.615,0,0,0.015938,367,0,1,42,0,-0.455,240,100.494,0,0,1,14.7844
1,32.5616,7.06846,0.110273,684,87.7193,0.024,93.649,0,0,0.015875,367,0,1,43,0,-0.385,240,100.494,0,0,1,14.7531
1,32.6496,8.28629,0.066164,684,87.7193,0,0,0,0,0.015875,367,0,1,43,0,-0.385,240,100.494,0,0,1,14.7815
1,32.6475,8.93159,0.066164,700,85.7143,0,0,0,0,0.015875,367,0,1,43,0,-0.385,240,100.494,0,0,1,14.7355
1,32.9763,14.7191,0.116759,720,83.3333,0,0,0,0,0.015875,367,0,1,42,0,-0.385,255,100.494,0,0,1,14.6592
1,33.2004,10.4563,0.116759,720,83.3333,0,0,0,0,0.015938,367,0,1,42,0,-0.385,240,100.494,0,0,1,14.6595
1,33.2422,12.1387,0.096002,696,86.2069,0,0,0,0,0.015875,367,0,1,42,0,-0.385,240,100.494,0,0,1,14.6024
1,33.2707,7.9843,0.096002,692,86.7052,0,0,0,0,0.015875,367,0,1,42,0,-0.385,240,100.494,0,0,1,14.5956
1,33.6545,7.398,0.105083,684,87.7193,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,14.5893
1,34.0533,16.7194,0.124543,704,85.2273,0,0,0,0,0.015875,367,0,1,41,0,-0.385,240,100.494,0,0,1,14.6082
1,42.9907,12.6215,0.089515,760,78.9474,0,0,0,0,0.015875,367,0,1,40,0,-0.455,240,100.494,0,0,1,16.8985
1,40.1068,7.89384,0.119354,672,89.2857,0,0,0,0,0.015875,367,0,1,41,0,-0.455,240,100.494,0,0,1,16.7911
