Cust_id,Age,Account_balance,Personal_loan_ind,Home_loan_ind,Prime_Customer_ind,Overall_Satisfaction
CX01-10066,37,80862,1,1,1,Satisfied
CX01-10067,34,36766,0,1,0,Dis Satisfied
CX01-10068,53,19947,1,1,0,Dis Satisfied
CX01-10069,51,34062,0,0,0,Dis Satisfied
CX01-1007,57,30107,1,1,0,Dis Satisfied
CX01-10070,38,59911,1,0,1,Satisfied
CX01-10071,72,35000,0,0,1,Dis Satisfied
CX01-10072,73,21921,0,1,0,Dis Satisfied
CX01-10073,35,57376,0,0,0,Satisfied
CX01-10074,73,27067,0,0,1,Dis Satisfied
CX01-10075,54,8979,0,1,1,Dis Satisfied
CX01-10076,59,17105,0,1,0,Dis Satisfied
CX01-10077,55,33003,1,1,0,Dis Satisfied
CX01-10078,41,89839,1,1,1,Satisfied
CX01-10079,50,51508,1,0,0,Satisfied
CX01-1008,71,32113,0,0,0,Dis Satisfied
CX01-10080,42,30021,1,1,0,Dis Satisfied
CX01-10081,65,38091,0,0,1,Dis Satisfied
CX01-10082,72,20089,0,0,1,Dis Satisfied
CX01-10083,33,31954,1,0,0,Dis Satisfied
CX01-10084,54,5010,0,0,0,Dis Satisfied
CX01-10085,43,47778,0,0,1,Satisfied
CX01-10086,27,78288,0,0,1,Satisfied
CX01-10087,40,34002,1,0,0,Dis Satisfied
CX01-10088,74,10032,1,1,0,Dis Satisfied
CX01-10089,57,18953,0,1,0,Dis Satisfied
CX01-1009,74,18912,0,1,1,Dis Satisfied
CX01-10090,46,4935,1,1,1,Dis Satisfied
CX01-10091,72,35028,1,1,0,Dis Satisfied
CX01-10092,53,29043,0,0,1,Dis Satisfied
CX01-10093,73,12951,0,1,1,Dis Satisfied
CX01-10094,25,96673,0,1,1,Satisfied
CX01-10095,41,15959,0,0,1,Dis Satisfied
CX01-10096,39,88726,1,0,1,Satisfied
CX01-10097,49,74381,1,1,1,Satisfied
CX01-10098,35,30014,0,1,0,Dis Satisfied
CX01-10099,41,31027,1,1,0,Dis Satisfied
CX01-101,39,62314,1,1,1,Satisfied
CX01-1010,32,14027,0,1,0,Dis Satisfied
CX01-10100,65,17047,0,0,0,Dis Satisfied
CX01-10101,50,16023,0,1,1,Dis Satisfied
CX01-10102,41,20096,1,1,1,Dis Satisfied
CX01-10103,25,48280,0,1,1,Satisfied
CX01-10104,49,26083,1,0,1,Dis Satisfied
CX01-10105,32,44826,1,0,1,Satisfied
CX01-10106,42,97398,1,0,0,Satisfied
CX01-10107,58,11036,0,1,0,Dis Satisfied
CX01-10108,44,7953,1,1,1,Dis Satisfied
CX01-10109,52,27060,1,1,0,Dis Satisfied
CX01-1011,71,13101,1,0,1,Dis Satisfied
CX01-10110,25,88354,0,1,1,Satisfied
CX01-10111,23,56458,0,0,0,Satisfied
CX01-10112,64,15948,0,1,0,Dis Satisfied
CX01-10113,42,31052,0,0,0,Dis Satisfied
CX01-10114,38,11966,0,0,1,Dis Satisfied
CX01-10115,46,87981,0,0,1,Satisfied
CX01-10116,68,19107,0,1,1,Dis Satisfied
CX01-10117,66,30102,0,0,0,Dis Satisfied
CX01-10118,32,36650,0,1,0,Satisfied
CX01-10119,47,69977,1,0,0,Satisfied
CX01-1012,40,13062,1,0,0,Dis Satisfied
CX01-10120,42,54502,0,0,0,Satisfied
CX01-10121,57,14962,1,0,0,Dis Satisfied
CX01-10122,24,51971,1,0,1,Satisfied
CX01-10123,43,35088,0,1,0,Dis Satisfied
CX01-10124,44,55644,0,0,0,Satisfied
CX01-10125,48,18089,1,1,1,Dis Satisfied
CX01-10126,46,88187,1,0,1,Satisfied
CX01-10127,47,55258,0,0,0,Satisfied
CX01-10128,32,32982,1,1,1,Satisfied
CX01-10129,67,10002,0,1,0,Dis Satisfied
CX01-1013,39,32032,0,0,0,Dis Satisfied
CX01-10130,75,13973,0,0,1,Dis Satisfied
CX01-10131,35,46289,1,0,1,Satisfied
CX01-10132,40,53327,0,1,0,Satisfied
CX01-10133,60,13061,1,0,0,Dis Satisfied
CX01-10134,30,69451,0,0,0,Satisfied
CX01-10135,45,36245,1,0,0,Satisfied
CX01-10136,26,39112,0,1,1,Satisfied
CX01-10137,40,36928,0,0,0,Dis Satisfied
CX01-10138,31,50515,0,0,1,Satisfied
CX01-10139,29,65999,1,0,0,Satisfied
CX01-1014,64,15948,1,1,1,Dis Satisfied
CX01-10140,38,31108,1,0,0,Dis Satisfied
CX01-10141,47,64363,0,1,1,Satisfied
CX01-10142,38,72367,0,1,1,Satisfied
CX01-10143,21,31940,1,1,1,Satisfied
CX01-10144,43,28007,0,0,0,Dis Satisfied
CX01-10145,30,36548,0,1,1,Satisfied
CX01-10146,32,36071,0,1,0,Dis Satisfied
CX01-10147,57,18029,0,1,0,Dis Satisfied
CX01-10148,58,17975,0,1,0,Dis Satisfied
CX01-10149,73,14060,1,0,0,Dis Satisfied
CX01-1015,64,38944,1,1,1,Dis Satisfied
CX01-10150,45,59738,0,0,1,Satisfied
CX01-10151,38,83160,0,1,0,Satisfied
CX01-10152,26,96517,1,0,1,Satisfied
CX01-10153,27,77669,0,0,1,Satisfied
CX01-10154,71,8032,0,0,0,Dis Satisfied
CX01-10155,55,18065,1,0,0,Dis Satisfied
CX01-10156,35,36088,1,1,1,Satisfied
CX01-10157,29,48415,1,1,1,Satisfied
CX01-10158,22,51183,1,0,1,Satisfied
CX01-10159,24,76494,0,1,1,Satisfied
CX01-1016,45,67711,0,1,1,Satisfied
CX01-10160,63,38951,1,1,0,Dis Satisfied
CX01-10161,48,5950,1,0,0,Dis Satisfied
CX01-10162,27,80956,0,0,1,Satisfied
CX01-10163,35,39037,1,1,1,Satisfied
CX01-10164,23,82426,1,0,0,Satisfied
CX01-10165,23,56440,0,1,1,Satisfied
CX01-10166,38,7017,0,1,0,Dis Satisfied
CX01-10167,35,47204,0,1,1,Satisfied
CX01-10168,24,65144,0,0,1,Satisfied
CX01-10169,25,92457,0,0,0,Satisfied
CX01-1017,47,28963,0,0,0,Dis Satisfied
CX01-10170,56,4963,0,0,0,Dis Satisfied
CX01-10171,65,6993,0,1,0,Dis Satisfied
CX01-10172,41,15064,0,1,0,Dis Satisfied
CX01-10173,33,52357,0,1,1,Satisfied
CX01-10174,34,39037,1,0,1,Dis Satisfied
CX01-10175,68,20945,0,1,0,Dis Satisfied
CX01-10176,26,90341,0,1,0,Satisfied
CX01-10177,38,7919,0,1,0,Dis Satisfied
CX01-10178,59,30989,1,0,0,Dis Satisfied
CX01-10179,39,82266,1,0,1,Satisfied
CX01-1018,30,46573,1,1,0,Satisfied
CX01-10180,38,78700,0,1,1,Satisfied
CX01-10181,66,5944,1,0,0,Dis Satisfied
CX01-10182,36,59408,0,1,1,Satisfied
CX01-10183,48,100925,0,1,0,Satisfied
CX01-10184,36,39628,0,1,1,Satisfied
CX01-10185,39,37920,1,0,0,Satisfied
CX01-10186,57,30973,1,0,0,Dis Satisfied
CX01-10187,26,69554,0,0,0,Satisfied
CX01-10188,24,100171,0,1,1,Satisfied
CX01-10189,38,73465,1,0,1,Satisfied
CX01-1019,39,37091,1,0,0,Satisfied
CX01-10190,37,37981,1,1,1,Satisfied
CX01-10191,21,92431,0,1,1,Satisfied
CX01-10192,50,37912,1,0,1,Satisfied
CX01-10193,58,35973,0,1,0,Dis Satisfied
CX01-10194,71,26050,1,0,0,Dis Satisfied
CX01-10195,44,10076,0,1,1,Dis Satisfied
CX01-10196,26,31113,0,0,1,Satisfied
CX01-10197,38,38950,0,0,1,Satisfied
CX01-10198,53,19929,0,0,0,Dis Satisfied
CX01-10199,40,19924,0,1,1,Dis Satisfied
CX01-102,43,36938,0,0,1,Dis Satisfied
CX01-1020,39,99150,1,0,1,Satisfied
CX01-10200,34,23099,0,1,0,Dis Satisfied
CX01-10201,45,50858,1,0,1,Satisfied
CX01-10202,58,28088,0,1,1,Dis Satisfied
CX01-10203,24,35990,1,0,1,Satisfied
CX01-10204,25,48033,0,1,0,Satisfied
CX01-10205,43,47000,0,1,0,Satisfied
CX01-10206,38,18031,0,1,1,Dis Satisfied
CX01-10207,28,61285,0,0,1,Satisfied
CX01-10208,29,62611,1,0,1,Satisfied
CX01-10209,52,11909,1,0,0,Dis Satisfied
CX01-1021,20,49236,1,0,1,Satisfied
CX01-10210,51,38062,0,0,1,Dis Satisfied
CX01-10211,45,50055,1,1,1,Satisfied
CX01-10212,51,30957,0,0,0,Dis Satisfied
CX01-10213,39,30057,0,1,0,Dis Satisfied
CX01-10214,62,19934,1,1,0,Dis Satisfied
CX01-10215,65,19972,0,1,0,Dis Satisfied
CX01-10216,40,15925,0,0,0,Dis Satisfied
CX01-10217,51,6934,1,1,1,Dis Satisfied
CX01-10218,35,23917,1,0,1,Dis Satisfied
CX01-10219,64,31952,0,0,0,Dis Satisfied
CX01-1022,60,25966,0,0,0,Dis Satisfied
CX01-10220,56,27014,1,1,1,Dis Satisfied
CX01-10221,42,58731,1,1,1,Satisfied
CX01-10222,23,94345,0,1,1,Satisfied
CX01-10223,38,36107,1,1,0,Dis Satisfied
CX01-10224,26,63122,1,1,0,Satisfied
CX01-10225,52,39018,0,1,1,Dis Satisfied
CX01-10226,66,8981,0,1,1,Dis Satisfied
CX01-10227,61,21939,0,0,1,Dis Satisfied
CX01-10228,27,67275,0,1,1,Satisfied
CX01-10229,61,29015,1,0,0,Dis Satisfied
CX01-1023,39,22035,1,0,0,Dis Satisfied
CX01-10230,43,57780,0,1,1,Satisfied
CX01-10231,52,14943,0,1,1,Dis Satisfied
CX01-10232,44,77496,0,0,1,Satisfied
CX01-10233,73,30932,0,1,1,Dis Satisfied
CX01-10234,28,45137,1,1,1,Satisfied
CX01-10235,22,62012,0,1,1,Satisfied
CX01-10236,19,84870,0,0,0,Satisfied
CX01-10237,57,9988,1,1,1,Dis Satisfied
CX01-10238,38,36750,0,1,1,Satisfied
CX01-10239,35,87956,0,0,1,Satisfied
CX01-1024,21,66811,1,1,1,Satisfied
CX01-10240,63,32114,1,1,0,Dis Satisfied
CX01-10241,55,37043,0,0,0,Dis Satisfied
CX01-10242,40,33021,0,0,0,Dis Satisfied
CX01-10243,60,34018,0,0,0,Dis Satisfied
CX01-10244,23,51131,0,1,0,Satisfied
CX01-10245,55,28959,0,0,1,Dis Satisfied
CX01-10246,32,36024,0,0,1,Dis Satisfied
CX01-10247,34,33988,0,0,0,Dis Satisfied
CX01-10248,47,97412,1,0,0,Satisfied
CX01-10249,32,43652,1,0,1,Satisfied
CX01-1025,26,88509,1,0,1,Satisfied
CX01-10250,27,58809,0,1,1,Satisfied
CX01-10251,38,96160,1,1,1,Satisfied
CX01-10252,44,71589,1,1,0,Satisfied
CX01-10253,48,95132,0,0,1,Satisfied
CX01-10254,37,75402,1,1,1,Satisfied
CX01-10255,65,24076,0,0,0,Dis Satisfied
CX01-10256,54,26968,0,1,0,Dis Satisfied
CX01-10257,67,31848,1,1,1,Dis Satisfied
CX01-10258,38,10959,0,1,0,Dis Satisfied
CX01-10259,21,74258,0,0,1,Satisfied
CX01-1026,47,96073,0,0,1,Satisfied
CX01-10260,37,89226,1,1,1,Satisfied
CX01-10261,26,94280,0,0,1,Satisfied
CX01-10262,23,36650,1,0,1,Satisfied
CX01-10263,37,36966,1,1,0,Dis Satisfied
CX01-10264,38,47399,0,0,1,Satisfied
CX01-10265,37,19029,1,1,1,Dis Satisfied
CX01-10266,42,74850,1,0,1,Satisfied
CX01-10267,28,62807,1,0,1,Satisfied
CX01-10268,48,28057,0,0,1,Dis Satisfied
CX01-10269,31,40937,1,1,1,Dis Satisfied
CX01-1027,54,36046,0,0,1,Dis Satisfied
CX01-10270,46,94066,0,0,1,Satisfied
CX01-10271,41,10070,1,0,0,Dis Satisfied
CX01-10272,29,85964,1,1,1,Satisfied
CX01-10273,35,73748,0,0,1,Dis Satisfied
CX01-10274,33,23094,0,0,0,Dis Satisfied
CX01-10275,39,5075,0,0,1,Satisfied
CX01-10276,42,6056,0,1,1,Satisfied
CX01-10277,57,9931,1,0,1,Satisfied
CX01-10278,37,14990,0,0,0,Dis Satisfied
CX01-10279,38,37976,0,0,0,Dis Satisfied
CX01-1028,39,36054,1,1,0,Dis Satisfied
CX01-10280,48,49763,1,0,1,Dis Satisfied
CX01-10281,27,80133,1,1,1,Satisfied
CX01-10282,45,85472,0,0,1,Satisfied
CX01-10283,66,27933,1,0,1,Dis Satisfied
CX01-10284,44,21986,0,0,0,Dis Satisfied
CX01-10285,61,21980,1,1,0,Dis Satisfied
CX01-10286,40,44267,1,0,1,Satisfied
CX01-10287,36,87291,1,0,1,Satisfied
CX01-10288,23,57247,0,0,1,Satisfied
CX01-10289,47,36069,1,0,0,Dis Satisfied
CX01-1029,31,65875,1,0,1,Satisfied
CX01-10290,34,84300,0,1,1,Satisfied
CX01-10291,34,38971,1,1,1,Satisfied
CX01-10292,34,11077,1,1,0,Dis Satisfied
CX01-10293,48,24949,1,1,1,Dis Satisfied
CX01-10294,43,81522,0,0,1,Satisfied
CX01-10295,45,57370,0,1,1,Satisfied
CX01-10296,72,7926,1,0,0,Dis Satisfied
CX01-10297,52,8050,1,1,1,Dis Satisfied
CX01-10298,44,27943,0,0,1,Dis Satisfied
CX01-10299,54,33108,0,1,0,Dis Satisfied
CX01-103,67,37950,1,0,0,Dis Satisfied
CX01-1030,55,33061,0,1,1,Dis Satisfied
CX01-10300,44,70443,0,0,1,Satisfied
CX01-10301,20,73051,1,1,1,Satisfied
CX01-10302,38,80043,1,0,1,Satisfied
CX01-10303,63,18041,1,0,1,Dis Satisfied
CX01-10304,44,95083,0,1,1,Satisfied
CX01-10305,47,6976,0,0,1,Dis Satisfied
CX01-10306,67,30953,1,1,0,Dis Satisfied
CX01-10307,38,28002,0,1,0,Dis Satisfied
CX01-10308,33,7956,0,1,1,Dis Satisfied
CX01-10309,24,32969,1,1,1,Satisfied
CX01-1031,40,72182,0,0,1,Satisfied
CX01-10310,30,47576,1,0,1,Satisfied
CX01-10311,57,34029,0,1,1,Dis Satisfied
CX01-10312,47,18925,0,1,0,Dis Satisfied
CX01-10313,36,6050,1,1,0,Dis Satisfied
CX01-10314,41,73065,1,1,1,Satisfied
CX01-10315,27,41604,1,0,1,Satisfied
CX01-10316,38,28968,1,1,0,Dis Satisfied
CX01-10317,69,16919,1,0,0,Dis Satisfied
CX01-10318,71,9987,1,1,1,Dis Satisfied
CX01-10319,37,26027,0,1,0,Dis Satisfied
CX01-1032,67,22009,1,1,0,Dis Satisfied
CX01-10320,46,79756,1,1,1,Satisfied
CX01-10321,37,60265,1,1,1,Satisfied
CX01-10322,43,107066,1,0,1,Satisfied
CX01-10323,73,33012,0,1,1,Dis Satisfied
CX01-10324,52,30013,1,1,0,Dis Satisfied
CX01-10325,57,13936,0,1,1,Dis Satisfied
CX01-10326,42,67059,0,1,1,Satisfied
CX01-10327,34,67905,0,1,1,Satisfied
CX01-10328,46,29056,0,0,1,Dis Satisfied
CX01-10329,29,68497,0,0,0,Satisfied
CX01-1033,37,92297,1,1,1,Satisfied
CX01-10330,66,18922,1,1,0,Dis Satisfied
CX01-10331,26,60901,1,1,0,Satisfied
CX01-10332,26,62377,1,1,1,Satisfied
CX01-10333,36,51663,1,0,0,Satisfied
CX01-10334,43,73195,0,0,0,Satisfied
CX01-10335,67,19950,1,0,0,Dis Satisfied
CX01-10336,36,16107,1,1,1,Dis Satisfied
CX01-10337,55,27084,1,1,0,Dis Satisfied
CX01-10338,50,6936,0,0,0,Dis Satisfied
CX01-10339,63,11104,1,0,1,Dis Satisfied
CX01-1034,31,38054,1,1,0,Dis Satisfied
CX01-10340,29,59033,1,0,1,Satisfied
CX01-10341,31,16934,1,1,1,Dis Satisfied
CX01-10342,41,16108,1,0,0,Dis Satisfied
CX01-10343,56,38930,1,0,0,Dis Satisfied
CX01-10344,50,33556,0,0,0,Dis Satisfied
CX01-10345,57,19022,0,0,0,Dis Satisfied
CX01-10346,55,37055,0,0,1,Dis Satisfied
CX01-10347,44,64208,0,0,1,Satisfied
CX01-10348,64,42285,1,0,1,Dis Satisfied
CX01-10349,56,34110,1,0,1,Dis Satisfied
CX01-1035,32,28966,0,1,1,Dis Satisfied
CX01-10350,24,93149,0,0,1,Satisfied
CX01-10351,42,96457,0,1,1,Satisfied
CX01-10352,49,68555,1,0,1,Satisfied
CX01-10353,63,30945,1,1,0,Dis Satisfied
CX01-10354,45,33060,1,1,0,Dis Satisfied
CX01-10355,61,36976,0,0,0,Dis Satisfied
CX01-10356,26,105176,0,1,1,Satisfied
CX01-10357,34,94878,1,1,1,Satisfied
CX01-10358,42,11994,0,1,0,Dis Satisfied
CX01-10359,32,82686,1,1,1,Satisfied
CX01-1036,35,22931,1,1,0,Dis Satisfied
CX01-10360,53,31069,1,1,1,Dis Satisfied
CX01-10361,69,11094,1,1,0,Dis Satisfied
CX01-10362,42,19925,0,0,1,Dis Satisfied
CX01-10363,38,93465,0,0,1,Satisfied
CX01-10364,58,28919,1,1,0,Dis Satisfied
CX01-10365,21,33052,0,1,1,Satisfied
CX01-10366,41,82161,1,1,1,Satisfied
CX01-10367,46,72558,0,0,1,Satisfied
CX01-10368,69,10076,0,0,1,Dis Satisfied
CX01-10369,31,82502,0,1,0,Satisfied
CX01-1037,34,87347,1,1,0,Satisfied
CX01-10370,54,38093,0,0,1,Dis Satisfied
CX01-10371,41,25061,0,1,1,Dis Satisfied
CX01-10372,34,84340,0,1,1,Satisfied
CX01-10373,45,63230,1,1,1,Satisfied
CX01-10374,41,36114,0,0,1,Dis Satisfied
CX01-10375,27,53953,0,1,1,Satisfied
CX01-10376,37,95352,0,0,1,Satisfied
CX01-10377,52,25096,0,0,0,Dis Satisfied
CX01-10378,48,10911,0,0,1,Dis Satisfied
CX01-10379,73,5054,0,0,0,Dis Satisfied
CX01-1038,37,36941,0,1,0,Dis Satisfied
CX01-10380,47,82453,1,0,1,Satisfied
CX01-10381,29,64309,0,1,1,Satisfied
CX01-10382,40,24970,1,0,1,Dis Satisfied
CX01-10383,35,33004,0,1,1,Dis Satisfied
CX01-10384,33,86228,1,0,0,Satisfied
CX01-10385,40,80364,1,0,1,Satisfied
CX01-10386,56,38081,0,1,0,Dis Satisfied
CX01-10387,65,20044,0,0,0,Dis Satisfied
CX01-10388,42,70292,0,0,1,Satisfied
CX01-10389,41,53895,1,1,1,Satisfied
CX01-1039,48,35968,0,0,0,Dis Satisfied
CX01-10390,46,16074,1,0,1,Dis Satisfied
CX01-10391,74,27969,0,0,1,Dis Satisfied
CX01-10392,39,75659,1,0,0,Satisfied
CX01-10393,40,38941,0,1,0,Dis Satisfied
CX01-10394,37,90256,0,1,1,Satisfied
CX01-10395,49,12957,1,0,0,Dis Satisfied
CX01-10396,36,72959,1,0,1,Satisfied
CX01-10397,45,61715,1,1,0,Satisfied
CX01-10398,35,30941,0,1,0,Satisfied
CX01-10399,29,79999,1,0,1,Satisfied
CX01-104,37,61693,1,0,1,Satisfied
CX01-1040,56,13028,0,1,0,Dis Satisfied
CX01-10400,66,35957,1,0,1,Dis Satisfied
CX01-10401,26,94563,1,1,1,Satisfied
CX01-10402,65,28978,1,1,0,Dis Satisfied
